provider,run_date,target_date,forecast_tmax_c,actual_tmax_c,abs_error_c
open-meteo,2026-08-06,2026-08-09,32.3,32.7,0.4000000000000057
openweathermap,2026-08-06,2026-08-09,30.46,32.7,2.240000000000002
weatherapi,2026-08-06,2026-08-09,31.1,32.7,1.6000000000000014
open-meteo,2026-08-07,2026-08-10,32.4,32.3,0.10000000000000142
openweathermap,2026-08-07,2026-08-10,30.21,32.3,2.0899999999999963
open-meteo,2026-08-08,2026-08-11,32.6,32.3,0.30000000000000426
openweathermap,2026-08-08,2026-08-11,30.02,32.3,2.2799999999999976
open-meteo,2026-08-09,2026-08-12,32.8,32.3,0.5
openweathermap,2026-08-09,2026-08-12,29.95,32.3,2.349999999999998
open-meteo,2026-08-10,2026-08-13,32.7,32.9,0.19999999999999574
openweathermap,2026-08-10,2026-08-13,30.46,32.9,2.4399999999999977
open-meteo,2026-08-11,2026-08-14,31.9,31.9,0.0
openweathermap,2026-08-11,2026-08-14,31.2,31.9,0.6999999999999993
open-meteo,2026-08-12,2026-08-15,32.2,33.2,1.0
openweathermap,2026-08-12,2026-08-15,30.34,33.2,2.860000000000003
open-meteo,2026-08-13,2026-08-16,31.4,32.9,1.5
openweathermap,2026-08-13,2026-08-16,30.1,32.9,2.799999999999997
open-meteo,2026-08-14,2026-08-17,32.2,32.4,0.19999999999999574
openweathermap,2026-08-14,2026-08-17,30.62,32.4,1.7799999999999976
