provider,run_date,target_date,horizon_days,tmax_c
open-meteo,2026-08-06,2026-08-09,3,32.3
openweathermap,2026-08-06,2026-08-09,3,30.46
weatherapi,2026-08-06,2026-08-09,3,31.1
open-meteo,2026-08-07,2026-08-10,3,32.4
openweathermap,2026-08-07,2026-08-10,3,30.21
open-meteo,2026-08-08,2026-08-11,3,32.6
openweathermap,2026-08-08,2026-08-11,3,30.02
open-meteo,2026-08-09,2026-08-12,3,32.8
openweathermap,2026-08-09,2026-08-12,3,29.95
open-meteo,2026-08-10,2026-08-13,3,32.7
openweathermap,2026-08-10,2026-08-13,3,30.46
open-meteo,2026-08-11,2026-08-14,3,31.9
openweathermap,2026-08-11,2026-08-14,3,31.2
