provider,run_date,target_date,horizon_days,tmax_c
open-meteo,2026-08-06,2026-08-09,3,32.3
openweathermap,2026-08-06,2026-08-09,3,30.46
weatherapi,2026-08-06,2026-08-09,3,31.1
open-meteo,2026-08-07,2026-08-10,3,32.4
openweathermap,2026-08-07,2026-08-10,3,30.21
open-meteo,2026-08-08,2026-08-11,3,32.6
openweathermap,2026-08-08,2026-08-11,3,30.02
open-meteo,2026-08-09,2026-08-12,3,32.8
openweathermap,2026-08-09,2026-08-12,3,29.95
open-meteo,2026-08-10,2026-08-13,3,32.7
openweathermap,2026-08-10,2026-08-13,3,30.46
open-meteo,2026-08-11,2026-08-14,3,31.9
openweathermap,2026-08-11,2026-08-14,3,31.2
open-meteo,2026-08-12,2026-08-15,3,32.2
openweathermap,2026-08-12,2026-08-15,3,30.34
open-meteo,2026-08-13,2026-08-16,3,31.4
openweathermap,2026-08-13,2026-08-16,3,30.1
open-meteo,2026-08-14,2026-08-17,3,32.2
openweathermap,2026-08-14,2026-08-17,3,30.62
open-meteo,2026-08-15,2026-08-18,3,32.6
openweathermap,2026-08-15,2026-08-18,3,31.21
open-meteo,2026-08-16,2026-08-19,3,35.9
openweathermap,2026-08-16,2026-08-19,3,34.99
open-meteo,2026-08-17,2026-08-20,3,32.3
openweathermap,2026-08-17,2026-08-20,3,32.55
open-meteo,2026-08-18,2026-08-21,3,34.1
openweathermap,2026-08-18,2026-08-21,3,29.51
open-meteo,2026-08-19,2026-08-22,3,30.9
openweathermap,2026-08-19,2026-08-22,3,28.87
open-meteo,2026-08-20,2026-08-23,3,30.9
openweathermap,2026-08-20,2026-08-23,3,28.97
